"Shipping Address","Shipping Address"
"Billing Address","Billing Address"
"Edit","Edit"
"Loading...","Loading..."
"Loading next step...","Loading next step..."
"Place Order","Place Order"
"Placing your order...","Placing your order..."
"Read it here","Read it here"
"Continue","Continue"
"Continue Shopping","Continue Shopping"
"Select delivery method","Select delivery method"
"Delivery","Delivery"
"Summary","Summary"
"Confirmation","Confirmation"
"Edit Cart","Edit Cart"
"City","City"
"Country","Country"
"Telephone","Telephone"
"State/Province","State/Province"
"Finalize order","Finalize order"
"Masterpass Checkout", "Masterpass Checkout"
"Product Name","Product Name"
"Price","Price"
"Qty","Qty"
"Subtotal","Subtotal"
"Place Order","Place Order"
"Pay immediately","Pay immediately"
"Or pay immediately","Or pay immediately"
"Learn more","Learn more"
